gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,0,0.8122712741111652,0,0,1,0,0,0,0,0,0,0,1,2,24.80885637265935,5.466528722942089,0
0,0,0,0,8.707660136754283,1,1,1,0,0,0,0,0,0,1,0,3,45.35236305185519,22.785730713307917,0
0,0,0,0,1.4177755214453713,1,1,1,0,0,0,0,0,0,0,1,3,43.04613009830902,9.02208578597361,1
0,0,0,0,10.12737714615498,0,0,1,0,0,0,0,0,0,1,0,0,34.363918543283475,22.609165602051608,0
1,0,0,0,1.4177755214453713,1,1,2,0,0,0,0,0,0,0,1,2,55.47908725281159,10.17358163085539,1
1,0,0,0,3.7322777297994865,1,2,2,0,0,0,0,0,0,0,1,2,76.36451593434737,17.691670756293927,1
0,0,0,1,6.837452431252002,1,2,2,0,0,0,0,0,0,0,1,1,68.81235850788315,22.998086165371305,0
1,0,0,0,4.291737218181439,0,0,1,0,0,0,0,0,0,0,0,3,24.731086875273352,12.853774582396127,0
1,0,1,0,7.826574651485156,1,2,2,0,0,0,0,0,0,0,1,2,80.0296695020328,26.226599512738677,1
0,0,0,1,11.990371756646582,1,1,1,0,0,0,0,0,0,1,0,0,44.75809223795787,27.28114628072319,0
0,0,1,1,5.033832083042317,1,1,1,0,0,0,0,0,0,0,1,3,40.13105008041957,15.935857429293238,0
0,0,0,0,5.692092685736443,1,1,0,0,0,0,0,0,0,2,0,1,16.205994295209877,13.193799351006113,0
0,0,1,0,11.579925316612202,1,2,2,0,0,0,0,0,0,1,0,1,76.86348508140577,31.39375270775446,0
0,0,0,0,10.596137654979096,1,2,2,0,0,0,0,0,0,0,1,0,79.2479420924472,30.330273565484802,1
0,0,0,0,7.347856887306913,1,1,2,0,0,0,0,0,0,0,1,2,80.52682168046304,25.279470353532954,0
1,0,1,1,12.675282664274386,1,2,2,0,0,0,0,0,0,2,0,1,86.01535842584246,34.470278746482286,0
1,0,0,0,10.93422337085282,1,1,0,0,0,0,0,0,0,1,0,3,17.566729444526988,18.935156470338832,0
0,0,0,1,12.863931848577842,1,2,2,0,0,0,0,0,0,2,0,0,81.37852596017783,33.82131614704263,0
1,0,1,1,4.291737218181439,1,1,1,0,0,0,0,0,0,0,0,1,44.051601901744306,15.409197208070074,1
1,0,0,0,6.659183843421804,1,1,2,0,0,0,0,0,0,0,1,2,69.49496424276978,22.689816557197197,0
0,1,0,0,0.8122712741111652,0,0,1,0,0,0,0,0,0,0,1,2,32.349270626129076,6.148569224495943,1
0,0,1,0,4.797235410357843,1,1,0,0,0,0,0,0,0,1,0,0,16.88738190789164,11.236959512006337,0
0,0,0,0,0.8122712741111652,1,1,0,0,0,0,0,0,0,0,0,3,17.167355257613345,4.607288987671001,1
1,0,1,0,11.579925316612202,1,2,1,0,0,0,0,0,0,2,1,1,47.53860538733928,27.320012712304944,0
0,0,1,1,10.596137654979096,1,1,1,0,0,0,0,0,0,0,0,1,47.31663678553649,26.034533468110563,0
1,0,0,0,8.130622119655783,1,1,1,0,0,0,0,0,0,0,1,0,44.126010310652454,21.395621906959445,0
0,0,1,1,10.3644628661899,1,2,2,0,0,0,0,0,0,0,1,2,76.15059417993213,29.82371286495018,1
0,0,1,1,0.8122712741111652,0,0,1,0,0,0,0,0,0,0,0,2,25.08090442832479,5.493494590746824,1
0,0,1,0,12.957168450726964,1,2,1,0,0,0,0,0,0,2,1,1,69.63860397039554,32.433880787530185,0
1,0,0,1,5.896995818306273,1,1,1,0,0,0,0,0,0,0,1,3,51.07947375246652,19.323002758717298,1
1,1,1,0,12.863931848577842,1,2,2,0,0,0,0,0,0,2,1,1,74.0087709741245,32.99678444689165,0
0,1,1,0,1.4177755214453713,1,1,2,0,0,0,0,0,0,0,1,1,73.40104668827985,10.830964264743258,0
1,0,1,1,7.670187912961393,1,1,1,0,0,0,0,0,0,1,0,3,52.14531836349243,22.731588153978763,0
0,0,0,0,0.8122712741111652,1,1,0,0,0,0,0,0,0,0,0,0,17.207323581955784,4.6124118785837664,0
0,1,0,0,0.8122712741111652,1,1,1,0,0,0,0,0,0,0,0,0,36.596044052068976,6.4844284565452375,0
1,0,1,1,12.957168450726964,1,2,2,0,0,0,0,0,0,2,0,0,76.54274833204082,33.65078260584229,0
0,0,0,0,2.743799020423761,1,1,2,0,0,0,0,0,0,0,1,2,54.74775623365867,13.06099775036658,1
1,0,0,0,10.246618568763873,1,1,2,0,0,0,0,0,0,0,1,1,58.46984323851933,27.417290340103673,0
0,0,0,0,8.707660136754283,1,2,2,0,0,0,0,0,0,0,1,2,81.13018446180584,27.419419593982816,1
1,0,0,0,4.550327022775058,1,2,2,0,0,0,0,0,0,0,1,0,75.0802786199757,19.389081091829595,1
0,0,1,1,4.291737218181439,1,1,1,0,0,0,0,0,0,1,0,3,39.831161441841196,14.90165172596986,0
